01_TipoRegistro|02_Expedidor_CIF|03_Factura_Serie|04_Factura_Numero|05_Factura_Rectif_NumOriginal|06_Factura_FechaDoc|07_Factura_FechaAsien|08_Factura_FechaValor|09_Receptor_CIF|10_Posicion_Numero|11_ImporteTransaccion|12_ImpuestoIndirecto_BaseImponible|13_ImpuestoIndirecto_%|14_ImpuestoIndirecto_Cuota|15_ImpuestoIndirecto_%Deducibilidad|16_Recargo_BaseImponible|17_Recargo_%|18_Recargo_Cuota|19_Posicion_TotalFactura|20_Retencion_BaseImponible|21_Retencion_%|22_Retencion_Cuota|23_OtrosImportes|24_Posicion_LiquidoFactura|25_Expedidor_SistemaImpositivo|26_Receptor_SistemaImpositivo|27_Contab_Tercero|28_Contab_Transaccion|29_ContabExpedidor_ImpIndirecto_Cuota|30_ContabExpedidor_Recargo_Cuota|31_ContabExpedidor_Retencion_Cuota|32_ContabExpedidor_OtrosImportes|33_ContabReceptor_ImpIndirecto_Cuota|34_ContabReceptor_Recargo_Cuota|35_ContabReceptor_Retencion_Cuota|36_ContabReceptor_OtrosImportes|37_Factura_Tipo_CR_Expedidor|38_Factura_Tipo_CR_Receptor|39_RutaFactura_Expedidor|40_RutaFactura_Receptor|41_Factura_ModeloExpedidor|42_Factura_ModeloReceptor|43_Expedidor_Alias_Empresa|44_Receptor_Alias_Empresa|45_Ruta_Factura_Original|46_Campo_Opcional|47_Factura_Rectif_FechaOriginal|48_IdTipoImpuestoIndirecto|49_IdTipoImpuestoDirecto
1|B97777619||FA268737||20100101|20100101|20100101|B12345678|1|12424|12424||1531||0||0|13955|0|00.00|0|0|13955||España_IVA_Tipos Estándar|4100007619|||||||||||0||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B97777619_CANNON HYGIENE\FACT_RECIB\B97777619_20100101_FA268737.jpg||2431|CANNON HYGIENE|PRUEBAS CONTARAPID|C:\CR_PROCESADO\PRUEBAS CONTARAPID\RECIBIDA ESTANDAR\CANNON2_Page_0001.CRI||||
I|B97777619||FA268737||20100101|20100101|20100101|B12345678|1|7344|7344|16.00|1175|100.00|0|00.00|0|8519|||||||||6000000000|||||4720001601|||||0||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B97777619_CANNON HYGIENE\FACT_RECIB\B97777619_20100101_FA268737.jpg||2431|CANNON HYGIENE|PRUEBAS CONTARAPID|C:\CR_PROCESADO\PRUEBAS CONTARAPID\RECIBIDA ESTANDAR\CANNON2_Page_0001.CRI|||Tipo Ordinario|
I|B97777619||FA268737||20100101|20100101|20100101|B12345678|2|5080|5080|07.00|356|100.00|0|00.00|0|5436|||||||||6000000000|||||4720000700|||||0||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B97777619_CANNON HYGIENE\FACT_RECIB\B97777619_20100101_FA268737.jpg||2431|CANNON HYGIENE|PRUEBAS CONTARAPID|C:\CR_PROCESADO\PRUEBAS CONTARAPID\RECIBIDA ESTANDAR\CANNON2_Page_0001.CRI|||Tipo Reducido|
0|12345678||111||20100201|20100201|20100201|B12345678|0|350000|350000|16.00|56000|100.00|0|00.00|0|350000|0|00.00|0|0|350000||España_IVA_Tipos Estándar|4100000678|6000000000|4700000000||||4720001601|||||7||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\12345678_S COMPANY\FACT_RECIB\12345678_20100201_111.jpg||2422|S COMPANY|PRUEBAS CONTARAPID|C:\CR_PROCESADO\PRUEBAS CONTARAPID\RECIBIDA INTRACOMUNITARIA\R09_01_COMPANY_R3_Page_0000.CRI|||Tipo Exento|
1|B97777619||FA276362||20100301|20100301|20100301|B12345678|1|12424|12424||1531||0||0|13955|0|00.00|0|0|13955||España_IVA_Tipos Estándar|4100007619|||||||||||0||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B97777619_CANNON HYGIENE\FACT_RECIB\B97777619_20100301_FA276362.jpg||2431|CANNON HYGIENE|PRUEBAS CONTARAPID|C:\CR_PROCESADO\PRUEBAS CONTARAPID\RECIBIDA ESTANDAR\CANNON2_Page_0000.CRI||||
I|B97777619||FA276362||20100301|20100301|20100301|B12345678|1|7344|7344|16.00|1175|100.00|0|00.00|0|8519|||||||||6000000000|||||4720001601|||||0||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B97777619_CANNON HYGIENE\FACT_RECIB\B97777619_20100301_FA276362.jpg||2431|CANNON HYGIENE|PRUEBAS CONTARAPID|C:\CR_PROCESADO\PRUEBAS CONTARAPID\RECIBIDA ESTANDAR\CANNON2_Page_0000.CRI|||Tipo Ordinario|
I|B97777619||FA276362||20100301|20100301|20100301|B12345678|2|5080|5080|07.00|356|100.00|0|00.00|0|5436|||||||||6000000000|||||4720000700|||||0||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B97777619_CANNON HYGIENE\FACT_RECIB\B97777619_20100301_FA276362.jpg||2431|CANNON HYGIENE|PRUEBAS CONTARAPID|C:\CR_PROCESADO\PRUEBAS CONTARAPID\RECIBIDA ESTANDAR\CANNON2_Page_0000.CRI|||Tipo Reducido|
0|B12345678||1001||20100427|20100427|20100427|B11111111|0|15000|15000|04.00|600|100.00|0|00.00|0|15600|0|00.00|0|10000|25600|España_IVA_Tipos Estándar||4300001111|6000000004|4720000004|||5660000000|||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1001.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS__Page_0000.CRI|||Tipo Superreducido|
1|B12345678||1002||20100427|20100427|20100427|B11111111|1|15000|15000||720||0||0|15720|0|00.00|0|10000|25720|España_IVA_Tipos Estándar||4300001111|||||5660000000|||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1002.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_2__Page_0000.CRI||||
I|B12345678||1002||20100427|20100427|20100427|B11111111|1|11000|11000|04.00|440|100.00|0|00.00|0|11440|||||||||6000000004|4720000004||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1002.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_2__Page_0000.CRI|||Tipo Superreducido|
